"";"id";"description";"VIO"
"2759";1055080734530349;"http://www.bild.de/regional/koeln/blaeck-foeoess/tochter-von-blaeck-foesss-gitarrist-verpruegelt-44466414.bild.html                 Die Polizei konnte den Haupttäter festnehmen: Yussuf B. (24, Name geändert). Einschlägig bekannt, 20 Einträge quer durch das Gesetzbuch. Gegen ihn wird nun ermittelt.";"false"
"1664";862086183829806;"Jetzt beleidigt und abhauen ... aber natürlich, wir sind unter deinem Niveau ;-) Schwach einfach, ganz schwach";"false"
"7285";882774511760973;"Rezan!Hier unterhalten sich Deutsche!";"false"
"2983";982741491764274;"Zu spät";"false"
"3414";1063232907048465;"ja,und nun??";"false"
"8786";1088400197865069;"Da geht uns doch jemand mit gutem Beispiel voran, dem es zu folgen gilt. 1 Jahr geht schnell vorbei und eins ist sicher,  die Lage wird sich noch verschlimmern.";"false"
"7453";882709078434183;"ein Marokkaner und ein Tunesier.... hmmm vor was müssen Sie flüchten in ihrer Heimat???";"false"
"9873";855145824523842;"Ihr seid nicht das Volk! Mehrheiten sehen anders aus!";"false"
"1508";876259745745783;"Was ist mit dem Gesundheitswesen, also wir haben eines der besten der Welt. ?! Da gibt es genug andere Themen wo es wirklich nicht rund läuft. Aber das ne da kann ich nicht mitgehen";"false"
"517";1134127453292343;"versucht es mal :) ...http://www.pi-news.net/2016/06/muenchen-farbiges-sicherheitspersonal-von-fluechtlings-heim-bedraengt-us-filmteam/";"false"
"7119";854996161205475;"Sehr gut ??";"false"
"7753";1012950565410033;"Kampf gegen Terrormiliz.  Warum der Vernichtungsschlag gegen den IS ausbleibt. 
http://www.n24.de/n24/Nachrichten/Politik/d/7662322/warum-der-vernichtungsschlag-gegen-den-is-ausbleibt.html";"true"
"9096";960974667274290;"Abschieben ist ja toll, ABER man sollte die gar nicht erst hineinlassen!";"false"
"2665";1043891435649279;"#RECHTSVERDREHER #LÜGENVERSCHWÖRER #AllesNazis #PEGIDA/STINKT #IchbeherrschediedeutscheSprachenicht,aberhetzegegenAusländer #Keinerhatmichlieb,deswegenhasseichauchalle #PATRIOTISMUS -> AUSGRENZUNG und RASSISMUS!!!!!";"false"
"3572";1056531561051933;"Britta Müller So wie bei Dir die Rechtschreibschwäche, mal abgesehen von den anderen Schwächen die Du besitzt...";"false"
"2508";1043629225675500;"Mischpoke ist mein Zusatz, stammt nicht von Frau Festerling! Wo habe ich das noch mal gehört?... Kann es sein, dass ein Politiker Pegida-Anhänger so betituliert hat?... Jepp, das war doch der grüne Kiffer-Cem! ;)";"false"
"6930";855004427871315;"Na eben das meinte ich! In den Sachsenspiegel - Nachrichten wurde von einer langen Liste an Künstlern gesprochen, die ""hoffentlich viele Leute anlocken, die Zu PEGIDA gehen wollen"".";"false"
"1401";1063482513690171;"Warnte Maas nicht jüngst davor, dass es bald die ersten Toten geben könnte? Ach so, er MEINTE gar nicht die, die durch andere Auswanderer umkommen? Ach so - was in den Flüchtlingsheimen (täglich) an Gewalt geschieht, ist für Maas nicht von Belang, solange der Täter nur ebenfalls ein kürzlich Ausgewanderter ist? Ach so, es HAT bereits Tote gegeben, wenn man die Auseinandersetzungen UNTER den Friedlichen, die derzeit demütig in unser Land strömen, weil sie mit Mühe und Not Krieg und Terror entronnen sind, mitzählt? Ach, Herr Maas - versehen Sie Ihren irreführenden Nachnamen endlich mit dem notwendigen Zusatz ""Zweierlei"". Das wäre doch ein hübscher Doppelname, und so passend ...";"false"
"5938";876383865733371;"xD http://urbanshit.de/bild-boykott-hamburg/";"false"
"6257";1010280939010329;"Annett Engel- du glaubst doch nicht wirklich das Deutschland  ihre dreckigen Pfoten nicht im Spiel haben. (Waffenlieferungen) !  Soldaten durften wir nicht schicken, Abstimmung hin Abstimmung her, alles Kasperletheater fürs Volk!  Das sind Vereinbarungen die nach dem 2.Weltkrieg getroffen worden.  Keine Soldaten!!!!! Nur im äußersten Fall, wenn die NATO mit Mehrheit abstimmt.";"false"
"74";1066205643417858;"Die Sachsen die sind helle das weiß die ganze Welt und sind sie mal nicht helle dann haben sie sich verstellt!";"false"
"8722";1096024597102629;"War auch in Ungarn letztes Jahr so....und Merkel hat sie reingelassen....nun sind sie da....leider wurden die Bilder nicht gezeigt....";"false"
"9407";960895220615568;"http://www.presseportal.de/blaulicht/pm/44143/3089491 Einzelfall";"false"
"2763";1055152514523171;"Das wird in einem Blutbad enden und ich fürchte, dass die Politiker genau DAS wollen.";"true"
"6431";1010208205684269;"Eddie, lecker dein Mojito, trink noch einen oder zwei...";"false"
"6050";876275225744235;"Ha ha ha ha ich schmeiße mich weg! ""Fachkräfte"" ich kanns nicht mehr hören!!!!";"false"
"10783";991254147579675;"Leider nützt es nichts , wenn nur Dresden auf die Straße geht. ??";"false"
"6788";855057834532641;"Linke Spinner. ... wenn es euch hier nicht gefällt, geht auf eure Seiten. ...";"false"
"6228";1010186359019787;"Andrea Harpyie Sie brauchen deren Kultur doch auch nicht kennen lernen, wenn Sie nicht wollen. Meine persönliche Meinung (und ich bin politisch rechts): Ich finde es toll, dass Deutschland bund ist ich freue mich, wenn ich Menschen aus anderen Kulturkreisen Kennenlernen kann, ich freue mich, dass es nicht nur deutsche Küche gibt, ich freue mich, dass es schwarze, gelbe, rote, braune(Hautfarbe) gibt. GENAU DAS MACHT DEUTSCHLAND AUS !!! Und ich bin froh, dass die ""Braune Brühe""(dank der Alliierten) nicht mehr an der Macht ist !!!";"false"
"7928";1012620435443046;"http://einprozent.de";"false"
"483";1065898623448560;"Klaus Aurin das Zauberwort heißt Bildung!";"false"
"2554";1055102981194791;"dann siedeln wir um! wenn wir umgesiedelt sind, dann werden die Grenzen höher, dicker und sicherer sein! Damit die Invasoren uns nicht folgen können!";"false"
"6792";855049281200163;"Kommste gerade aus dem Dschungelcamp? Dein Profilbild bestätigt mir das.";"false"
"6652";855003304538094;"https://staseve.wordpress.com/2014/07/27/hessische-verfassung-zeigt-auf-das-alliiertes-recht-der-militarregierung-hoherrangig-gegenuber-deutschen-gesetzen-ist/";"false"
"6870";855046664533758;"Soviel mist auf einmal liest man echt selten ????????????";"false"
"7538";882989701739454;"Sehr traurig für die Linken, sicher sitzen die jetzt heulend in der Ecke, weil es wieder kein Nazi war. Oder vielleicht doch, es war ein ausländischer Nazi. 

Ein Grund um gegen kaum vorhandene Nazis auf die Straße zu gehen und gewalttätig zu werden gibt es für Linke immer. Die Begründung ist Frankfurt lautete: 
"" Linke sehen im Vorgehen der Polizei eine „Kampfansage“. ""

Da kann man nur noch Kotzen, seit wann ist das vorgehen der Polizei eine Kampfansage? Da hat sich jeder dran zu halten und wenn einen das nicht passt, dann kann man sich immer noch beschweren. Aber nein, für die Linken ist das ein Grund sofort mit Steinen zu werfen. Echt krank.

http://www.fr-online.de/frankfurt/pegida-kundgebung-in-frankfurt-polizei-warnte-pegida-vor-ausschreitungen,1472798,30085934.html";"false"
"10402";946396678732089;"und der Duft hat sich geändert...";"false"
"8249";935258516512572;"weg mit dem mist";"false"
"4242";1035103806528042;"?";"false"
"7845";1013018012069955;"Ganz interessant. Und was nu?";"false"
"2930";982682861770137;"https://www.youtube.com/watch?v=ER4TYw9V-Mk&feature=youtu.be";"false"
"6938";855023114536113;"ne aber die Übervölkerung einiger Städte.";"false"
"2977";982677615103995;"Stimmt...nur ist man diese ewigen Sprüche leid...";"false"
"8591";1092030587502030;"sollen sie nur ordentlich bomben reintun. Auf daßdie schwarzen Affen eingeheizt kriegen.";"true"
"4123";982638968441193;"Warum macht Serbien und Kroatien die Grenze nicht dicht";"false"
"2145";1111563828882039;"als ich 1982 im Krankenhaus behandelt wurde lag neben mir ein Türke oder Kurde(sehen ja alle gleich aus)er hatte sich um seiner Abschiebung zu entgehen ein Messer in seinen Bauch gerammt...dieser Türke/Kurde hat mich vollgelabert ich solle ihm seine Gutscheine die er vom Sozialammt bekommen hat abkaufen.Nö Danke,habe ich ihm erwidert.Was aus ihm geworden ist weiß ich nicht,wünsche ihm dass er wieder glücklich in seinem Heimatland lebt und dem deutschen Steuerzahler nicht mehr auf der Tasche liegt.";"false"
"40";1064905916881164;"Beim Lesen der Kommentare kann man nur dümmer werden ????";"false"
"3559";1056926927679063;"Wo hast denn die Zahl her. Ich meine mehrfach gelesen zu haben, um die 2000 am Tag. Und das waren irgendwie 54 000. Kann mich aber auch irren. War schon froh das es nicht über 10 000 täglich waren.";"false"
"10710";991242654247491;"Viel Spaß, beste Grüße aus MV. ??";"false"
"2789";1043767132328376;"Tatjana, nicht gezielte Irreführung sondern sychologische Kriegsführung. Analysiere die einzelnen Stufen und sehe den nächsten Zug voraus. Und dann stelle diese Volksverhetzer bloß!";"false"
"5967";876300795741678;"Wenn man der Lügenpresse glaubt, dann könnte man den Eindruck bekommen.";"false"
"10859";1007240665981023;"Und eine traurige Nachricht aus Syrien :(  http://noch.info/index.php/2015/11/10/terroristisches-attentat-auf-eine-universitaet-in-latakia-22-menschen-wurden-getoetet-und-65-verwundet/";"false"
"6847";855026544535770;"Yo und? Entgegen den Gerüchten ist Pegida keine gegen Ausländer gerichtete Bewegung, sondern gegen bestimmte Entwicklungen die manche Ausländer hier nach Deutschland brachten, u.a. Islamisierung und Zunahme bestimmter Kriminalität. Mit Ausländern, die sich hier gut machen, hat keiner von uns ein Problem.";"false"
"8018";1012999782071778;"besoffen oder einfach nur dumm? ich wollte darauf hinweisen, dass Herr von und zu Lügenlutze diesen Fakt gerne mal unter den Teppisch  kehrt....weiß nicht warum du jetzt deine geistige Toilette bei mir ausleeren musst. Typen....";"false"
"10381";945897228782034;"Die haben kein Respekt vor uns und unsere Kultur die werden diese auchnie annehmen . Zurück schicken da wo sie herkommen wer soll den das alles Bezahlen irgend wann gibt es dann eine Abgabe für die Flüchtlinge den Soli haben wir ja schon ";"false"
"8643";1088417497863339;"Frage mich wieviele Leibwächter der hat";"false"
"10479";991366477568442;"Wir müssen sollen bewahren Kultur, Religion, Wertschöpfung. Es ist unsere Pflicht !";"false"
"10348";945850862120004;"sorry ,aber ich hab zurzeit so einen hass gegen alles.";"false"
"268";1069093859795703;"Na von mir ganz bestimmt nicht am 13.März!";"false"
"2034";1111816788856743;"Richtig. Bargeld ist ja schließlich der wahre Grund warum die hierher gekommen sind. Jetzt muss die Integration in Vordergrund stehen. Arbeiten. Keine Sonderbehandlung beim essen. Kein Schächten von Tieren. Keine Beschneidung bei Kindern. Keine Zwangsheirat. So erledigten sich alle Probleme von selbst.";"false"
"4409";1035166349855121;"Sollten wir wegen Kälte nicht kommen, dann nur weil kein Auto mehr anspringt. Widerstand ist jetzt Pflicht.";"false"
"3305";982752605096496;"Klar doch  ..es gibt für alles eine Entschuldigung um uns DAS auch noch schmackhaft zu machen....";"false"
"8";1065837533454669;"Die herrschenden Politiker bedürfen wirklich Nachhilfeunterricht in Sachen Demokratie.";"false"
"3109";982684558436634;"Das mit dem ""Einladen"" hat Merkel doch schon gemacht :-)
da sie aber Alles nur halb macht bleibt das mit dem  ""Zurückbringen"" wieder an uns hängen :-(";"false"
"2882";982879625083794;"Wenn ich derzeit frei, unabhängig oder arbeitslos wäre, würde ich mich in Ungarn bei den dortigen Behörden als freiwilliger Helfer melden zum Grenzschutz. Das hat rein gar nichts mehr mit asylsuchenden politisch verfolgten zu tun. Das ist ein gewalttätiger Versuch, einer islamistisch radikalen Bewegung eines unserer verbündeten Staaten zu stürmen. Nach dem NATO Abkommen müssten wir dementsprechend sofort handeln und unseren Verbündeten militärische Unterstützung leisten, oder habe ich da etwas falsch verstanden? Immerhin sind die USA den Kuwaitis schnell zur Hilfe geeilt ,als jene von der irakischen Armee überfallen wurden und Kuwait war seinerzeit NICHT in der NATO.";"false"
"8775";1091963204175435;"wird lustig werden,wenn 1000de Afghanen und Türken plötzlich in Damaskus ausgeladen werden...";"false"
"7795";1012969812074775;"3 Petitionen ein Ziel!

https://www.change.org/p/wir-fordern-das-misstrauensvotum-gegen-frau-merkel-sofortige-amtsenthebung-frau-merkels?recruiter=385732244&utm_source=share_petition&utm_medium=copylink

http://www.abgeordneten-check.de/kampagnen/frau-merkel-treten-sie-jetzt-zurueck/startseite/

http://www.civilpetition.de/kampagne/merkel-ruecktritt/startseite/";"false"
"1844";862014360503655;"Dont feed the müllera";"false"
"1009";1063674933670929;"Stimmt.
Verhindern tut ihr aber auch nichts.

Somit dürften die Hamburger “Widerständler“, die DAFÜR protestieren, dass “Flüchtlinge“ nicht in zu großen Unterkünften dezentral, sondern schön in kleinen Einheiten direkt ins Volk hineingemischt  werden, am Ende noch erfolgreicher sein.
Pass mal auf!
;-)";"false"
"6743";855014251203666;"Wir werden dann wohl auch sehen wie viele bezahlte Demonstranten die Gegenseite  auffährt  . Wie ich gelesen haben war der Stundenlohn bei 10€ ob sie diesmal noch mehr zahlen und das von unseren Steuergelder . Ihr solltet vielleicht auch filmen und Plakate hoch halten wir werden nicht bezahl dafür das wir demonstrieren Wir zahlen noch für die Gegendemo mit unseren Steuergelder";"false"
"1430";1063513483687074;"Ich denke mal, die lassen in diesen Unterkünften auch ihren Frust raus über diese Unterbringung und Behandlung hier in D, hat man doch jedem mindestens ein Haus, ein Auto und viel Geld und Arbeit versprochen";"false"
"1570";876254022413022;"Ey hallo, was ist mit den Nazis? Sind die etwa an irgendwas NICHT schuld?";"false"
"8894";1095900697115019;"Nette Leute die da kommen";"false"
"612";1134091833295905;"Diese behinderte olle ...";"false"
"4991";985682041470219;"BRAVO DRESDEN.";"false"
"5959";876513512387073;"[@IND], Wahlhelfer ist mir zu stressig. All die Unmengen von Wahlzettel mit Kreuzchen nach zu Korrigieren die der CDU und SPD ein Dorn im Auge sind. Nein,ich möchte ein ehrlicher Mensch bleiben. Aber eine Umschulung beim Jobcenter als Ölscheich oder so etwas ähnliches in dieser Art, das könnte ich mir vorstellen aber leider fehlt dem Jobcenter wie immer die Kohle . :D";"false"
"7040";855016267870131;"Grosses Kino wieder seitens Gegner angesagt mit Grönemeyer, Silli etc";"false"
"3582";1056926547679101;"Vor allem, wo am Tag 2000 neue kommen... ??????";"false"
"5500";1105898756115213;"Bürgenentscheid? Das Volk wird nicht gefragt!";"false"
"10015";945922665446157;"je,wo sind die weibsen denn nur,wenn demo war!ich war in aue,mehrfach in chemnitz u dresden u meist sah ich männer!!!!
also,wo sind sie,die frauen mit eiern,die sich politisch interessieren?wo?!einige wenige ausnahmen,denen ich den gleichen respekt entgegenbringe,wie den männern...die meisten damen interessiert das aber trotzdem nicht u da kannst du auf u niederhüpfen,wie du willst...
die dame oben sagte doch selbst,dass sie angst hat,als nazi zu gelten,oder?!es sollte ihr aber scheißegal sein,was andere denken!aber in münchen muss man sich ja gegenseitig was vormachen,als mal allen zu zeigen,hier,dass bin ich u das ist es,was ich denke u fühle u es ist mir egal,ob ihr hinter meinem rücken labert(als wenn die menschen das nicht auch so schon tun würden,ohne das man irgendetwas besonderes tut)

im übrigen stand ich da,als in chemnitz plötzlich gegendemonstranten zwischen uns waren u wir getrennt wurden.da kamen diese nachjacken u wollten einen lächerlichen sturmangriff führen,aber die polizei war da...ich bin bereit,zu kämpfen,wenn wir angegriffen werden!du auch?!
u ja,ich gebe dir in den punkt recht,auch ich  kenne diese typen,die,wenn se was gesoffen haben,erzählen,was sie alles tun würden u es dann nicht mal zu ner demo schaffen,zu der sie 5min weg hätten,zu der ich 45min fahre...u diese maulhuren kotzen mich genauso an,wie diese ignoranten weiber!!!!";"true"
"713";1152508898120865;"Its actually a form of reverse racism, also you must have discrimination laws? freedom of speech is freedom of opinion....sue the scum";"false"
"8149";884887298216361;"Jetzt stärk mal bitte deine Aussage mit guten Argumenten. Und lenke nicht auf irgendwelche ""Fakten"" oder Zahlen, die eh nicht stimmen. Einfach mal aus humaner Sicht. Immerhin bist du auch ein Mensch";"false"
"7251";882681151770309;"Die armen Vergewalniger und Schmachotzylanten :(";"false"
"2150";1111319508906471;"Na das nenne ich doch mal gelungene Integration, dann geht es denen genau so wie sehr vielen deutschen Mindestlohn Verdienern und Rentnern , die haben auch kaum einen Cent in der Tasche , noch nicht mal 340,-€ Taschengeld !!!!!!!";"false"
"32";1065849560120133;"Wir haben eine ausreichende Bildung und brauchen keine bevormundung von ehemaligen Stasimitarbeitern Hr.Tillich, Maas und co.";"false"
"5267";1105409132830842;"Ich melde mich freiwillig zum abriss";"true"
"9652";855608047810953;"[@IND]
Die Formel Im Namen des Volkes ist Ausdruck dafür, dass die Rechtsprechung wie alle Staatsgewalt gemäß Art. 20 Abs. 2 Satz 1 GG vom Volk ausgeht (Volkssouveränität). Die Formel bedeutet nicht, dass der Inhalt der Urteile dem tatsächlichen oder mutmaßlichen Willen der Bevölkerung entsprechen müsste. Die Entscheidung der Richter ist vielmehr alleine an das Gesetz gebunden (Art. 97 Abs. 1 GG). Quelle: Wikipedia";"false"
"4568";1036832319688524;"Jens Beuthan das ist sehr einfach zu Erklären warum es hier anders ist als im Osten , hier ist der Ausländeranteil so gewaltig hoch zb. bei uns in Remscheid im mom  36% der Anwohner ohne Deutschen Pass und viele Ausländer in der 2 Generation hat den Deutschen Pass also wird der anteil bei ca. 45% liegen , Aber das ist ja noch wenige im Ruhrgebiet liegt der anteil viel höher da traut sich keiner der Deutschen noch den Mund aufzumachen";"false"
"9103";977146698990420;"https://www.facebook.com/240638706109428/videos/vb.240638706109428/484862745020355/?type=2&theater";"false"
"10852";1007171019321321;"weißt ihr was Pegida schwanz ? die syrische Situation geht euch nichts an. Ihr habt nichts zu tun mit uns in Syrien. die russische Angriffen sind eigentlich für Eigeninteresse oder warum will Russland in einem schmutzige Sumpf wie der syrische Sumpf ,es sei denn, hat es eine Eigeninteresse!";"false"
"10933";991253914246365;"in diesem sinne, ich liebe euch!";"false"
"4758";985366448168445;"Viel Erfolg! An meine Heimat .....aus den USA.....";"false"
"9164";977209808984109;"Julia Schmidt - Gesocks hört sich im ersten Moment vielleicht komisch an, aber was sagst du denn zu Pack , Mob, Dunkeldeutschland, Nazis, Rechte, Braune usw.usw. wie hier die Leute teilweise betitelt werden. Stört es dich auch ?  Wo sind deine Komi´s dazu...???";"false"
"9649";855696021135489;"Sorry bin schon vor einigen Stunden aufgestanden, das kam wohl etwas zu spät.";"false"
"537";1121958894509199;"Danke für deinen kurzen und prägnanten Spruch. Ich klaue mir den mal und verwende ihn bei Gelegenheit weiter. :-)";"false"
"7438";882958935075864;"Na Gott sei Dank kein politisch motivierter Mord... ;-)     Ähm... Durfte ich jetzt ""Gott"" sagen oder diskriminiere ich damit jemanden..? ;-)";"false"
"1477";862027270502364;"Die Hippie Truppe Plädiert für ein buntes Deutschland.....,
unglaublich!";"false"
"4815";991240174247739;"Super...Dresden erinnert mich irgendwie an das gallische Dorf, dass nicht erobert werden konnte.";"false"
"5351";1105399046165184;"Das muß verhindert werden:Volksabstimmung!";"false"
"8464";888176241220800;"Schade, dass die FNP in Frankreich ist und nicht bei uns, die würde ich doch glattweg seit Jahren wählen und Marine Le Pen sieht nicht so scheiße aus wie die Genossin Merkel...";"false"
"2256";1120250158013406;"bis dahin ist es leider noch lange hin! Dann werden die Neubürger eingedeutscht und die bekommen noch  Wahlrecht! Ich habe so eine Vorahnung!";"false"
"7481";882701648434926;"Wäre er zuhause geblieben, würde er garantiert noch leben, also leider  selbst schuld. Toni und Korbinian, Ihr könnt doch gerne Flüchtlinge bei Euch aufnehmen, auf eigene Rechnung verköstigen und beschützen. Da hat keiner was dagegen.";"true"
"8631";1095991703772585;"Ein Australische Truck mit 3 Hänger hinten dran und durch. Die stellen sich nicht mehr in den Weg, wetten? Denn wenn die über 70 Räder drüber sind, übernimmt die Sonne den Rest und dann weht der Wind die Pappnasen von der Straße.";"true"
"1907";861994247172333;"Bravo Angola ... mehr Länder müssten dem Beispiel folgen :-)  ... http://www.welt.de/newsticker/dpa_nt/infoline_nt/brennpunkte_nt/article122288558/Angola-verbietet-Islam-Islamische-Welt-empoert.html ...";"false"
"870";1152523241452764;"Tchja,  Deutschland und der Demoktatie, manchmal tut sich schwer!";"false"
"5687";876270715744686;"Aha, Brücken bauen. Wenn Sie mit Ostdeutschen reden wollen ist PEGIDA Dresden die falsche Adresse. Dresden befindet sich  in Mitteldeutschland. Sie dürfen davon ausgehen, dass wir Mitteldeutschen unsere ostdeutschen Volksmitglieder nicht vergessen. Die Volksseelen, egal in welchem Teil der Welt und unabhängig ihrer religiösen Zugehörigkeit, sind untrennbar. Da die Bundesrepublik Deutschland kein Staat nach Völkerrecht darstellt und seit der Weimaer Republik kein völkerrechtlicher Nachfolgestaat für das Deutsche Reich installiert wurde, besteht dieses Deutsche Reich weiterhin, welches sich durch die Nachgeborenen Deutschen bis in die heutigen Tage manifestiert.";"false"
"5067";989195234452233;"lebe in canada... fact ist: eine reisewahrnung vor/wegen euch gibt es nicht....
ihr seit hier unbekannt. bitte richtig informieren";"false"
"2773";1055757184462704;"Bei einer gleichmäßigen Verteilung innerhalb Europa wäre eine große Zahl an Flüchtlingen durchaus zu kompensieren. Dass dies viele Bürger aus ihrer Komfortzone lockt, ist natürlich und verständlich. Doch im Kontrast zu dem, was den Flüchtlingen droht, wenn sie zurückgeschickt werden, sind die kulturellen Veränderungen - die man je nach Blickwinkel auch als Bereicherung sehen kann - verschwindend gering. Wie schlagen Sie vor, dass das Flüchtlingsproblem gelöst wird?";"false"
"10428";945827675455656;"Die sollen doch einfach alle weiter flüchten...sind doch Flüchtlinge!!!";"false"
"8145";935386609833096;"Bin dafür...";"false"
"7564";882699531768471;"Ich frage mich immer wieder, warum werden diese Leute nicht auf Waffen, Messer und Rauschgift durchsucht? Gelegentliche Durchführung von Kontrollen wäre doch ganz sinnvoll in den Unterkünften.";"false"
"5284";1105686159469806;"Regierungsverrat des eigenen Volkes! Wiedervereinigung war nicht mit den Türken gemeint, die mit dem Genozid gegen Armenier im ersten WK Kaiserreich verraten haben, Wolgadeutschen haben damals gegen Türken gekämpft.";"false"
"3403";1056909557680800;"Die steigen aus dem Flugzeug aus, schmeißen die Ausweise weg und stehen in 5 Tagen mit neuen Pässen (oder ohne) wieder an der Grenze, diesmal als traumatisierte syrische Staatsbürger. ;-)";"false"
"1826";862021053836319;"Karla, du scheinst den Unterschied zwischen kostenlos und umsonst nicht zu kennen...";"false"
"4125";982662305105526;"Scheiß Pack !!!!";"false"
"860";1152578964780525;"Genau!
Da die Gewerkschaften samt ihrer Dachorganisationen schamlos AfD-Bashing betreiben und damit auch den Interessen ihrer Mitglieder zuwider handeln, bin ich nach vielen Jahren einfach ausgetreten.
Basta!";"false"
"6232";1011268755578214;"Sigfried Liesel,  ich habe vorhin zwei Nazis gesehen, hier bei uns im REWE. Stell Dir vor, die haben Deutsche Markenbutter gekauft. Das waren doch welche oder???";"false"
"4618";1035152546523168;"Viele Grüße nach Sachsen und Danke für das was ihr jeden Montag auf die Straße bringt. Wir gehen am 15.01.2016 (erstmalig) in Paderborn, Prov. Westfalen, auf die Straße.";"false"
"2447";1055077837863972;"Wenn man sich Überlegt das Syrien nur ca. 22 Millionen Einwohner hatte, müsse es schon leer sein!";"false"
"7748";1012420805463009;"ja dann lern mal was für die Schule, dann machst du was vernünftiges junger mann";"false"
"5891";876934179011673;"Die Arbeitsagentur hat für unsere Arbeitslosen gar keine Zeit mehr. Es geht nur noch um Ausländer. Weiss ich aus erster Hand.";"false"
