id;description;VIO
935480303157060;"ähm,du erinnerst dich aber schon wer mit welchen Panzern den Aufstand niederrollte seinerzeit? Das ist eine Sache die -für mich zumindest- doch sehr paradox erscheint.Einerseits glorifizieren die Pegida-Führer Putin und seine UdSSR und schimpfen auf alles was auch nur ansatzweise etwas mit Amerika zu tun hat,sehen in den Amis die bösen,alles verschlingenden Machtmenschen,andererseits wird damit ""geprahlt"" das man ja 40 Jahre lang eingesperrt wurde (ja,von wem denn eigentlich?) und in einer Diktatur (unter der Fuchtel wessen Landes war das nochmal?) leben musste,die einem wenig Freiheit,dafür umso mehr Diskriminierung  und Menschenverachtung bescherte,um deutlich zu erkennen wer denn heutzutage die wahren ""Diktatoren"" sind.Ich gehe mit den allermeisten Punkten der Pegida konform,aber dieser Antiamerikanismus bei gleichzeitiger Russen-Glorifizierung nervt ehrlich wie Sau.Gerade ihr,die im Osten lebt und das SED-Regime am eigenem Leib erfahren habt,ihr solltet es besser wissen.Nicht das ich die Amis in den Himmel loben wollte,gewiss nicht,bei denen ist auch nicht alles koscher und astrein,aber sich mit den Russen (Putin gibt sich btw auch gerne mit ISlamisten ab sofern es im weiterhilft,ob im eigenem ""Reich"" -Tschetschenien- oder -damit der Rubel endlich wieder rollt- auch gerne mit dem Iran) auf Teufel-komm-raus als ""guter Freund"" darstellen zu müssen,ist wirklich (mir fällt nix anderes ein) paradox.Ich war und bin ein absoluter Befürworter der Wiedervereinigung,und ich werde auch nie verstehen warum dieser Tag aus den Kalendern als ""Gedenktag"" quasi gestrichen wurde,ich bekomme heute noch Gänsehaut wenn ich Berichte von damals sehe.Aber hört endlich  mit diesem ""scheiß Amis"" Gerede auf.";other
1123547177683704;getreu dem sprichwort: das volk soll keine angst vor der regierung haben, aber die regierung sollte angst vor dem volk haben.;nothing
855137661191325;Ja Leute es waren welche aus Dresden da ich kenne Leute die da waren einige wurden mit dem Bus nach Leipzig gefahren also nach denken und dann antworten außerdem ist es toll wenn man Leute dumm macht die für das selbe Kämpfen da haben wir ja schon verloren alle Daumen hoch;nothing
856826844355740;Haha...  bist du aber witzig.;nothing
857605034277921;Iris, nun aber gut, erzähl kein Schmarren, ich habe mir die 100 DM auch geholt und dann bin ich wieder nach Hause gefahren. Und diese 100 DM habe ich, neben den anderen 17 Millionen Ossis, davor, hundertfach, als Reparationszahlung, an Russland bezahlt. Auch im Namen meiner Brüder und Schwestern aus den gebrauchten Bundesländern.;nothing
857611840943907;Schau dir doch die Kriminalstatistik an oder das öffentliche Auftreten junger Migranten eines speziellen Kulturkreises.;nothing
856865687685189;Laut ARD 17.000 Teilnehmer;nothing
857298740975217;Was er labbert. ..;nothing
945979112107179;Diese Leute im Zirkus in Berlin interessiert das überhaupt nicht;nothing
862089607162797;Rotes Revolverblatt,war doch früher die SED-Bezirkseinheitszeitung....;nothing
1063397070365382;Sizan Suar oh ein gutmensch:-) der das deutsche volk weg haben will.... Jetzt geh in Bettchen sonst bekommst du nichts zu essen wenn du nicht brav bist Kindchen ...;nothing
857023657669392;"Amerikaner in Mariupol in Uniform des Nazi-Bataillons ""Asow"", 24.01.15: https://www.youtube.com/watch?x-yt-cl=84503534&v=sdt9T481o3E&x-yt-ts=1421914688#t=40";nothing
1064392373599185;Eigentlich geht den Arbeitgeber die politischen Aktivitäten des Arbeitnehmers nichts an. Es ist eine Frechheit das der Arbeitgeber einen Vorschreiben will wie man zu denken hat. Normalerweise kann der Arbeitnehmer den Arbeitgeber verklagen wenn er eine Kündigung bekommt nur wegen eine andere politische Ansicht.;nothing
972147339490356;Die Täter mit aller Härte des Gesetzes verfolgen und lebenslang wegsperren ??;nothing
856857347686023;Wieviele waren auf der Gegendemo ? 2000?;nothing
1007145692657187;"""Wir bienen Deutschland""???";nothing
1095906867114402;finster,finster;nothing
935268106511613;http://www.bild.de/regional/koeln/raubueberfall/ueberfall-auf-bonner-krankenhaus-41392542.bild.html bewaffente Südländer überfallen deutsches Krankenhaus. Täter trotz Spezialkommando und Hubschrauber entkommen;nothing
1056913501013739;127 ?? und wo sind die restlichen 4 Nullen?  1270000 ??;nothing
1111398072231948;"Ein gutes System! Behinderte Deutsche, die auf Grundsicherung angewiesen sind, würden sich darüber freuen! - keine Kontoführungsgebühr mehr! Und von "" rund 350 Euro Taschengeld"" träumen diese Leute. Das ist fast die gesamte Grundsicherung, von der sie ihren Lebensunterhalt zu bestreiten haben!";nothing
856995071005584;"was für Kritiker? selbst die Lügenpresse kuschelt sich langsam ran. Von ""Nazis"" haben wir es jetzt schon zu ""Islamkritiker"" geschafft. Antifa hat es in derselben Zeit nur von ""gewaltbereiten Deppen"" zu ""gewaltbreiten Deppen"" geschafft. 0 Entwicklung.";nothing
857836834254741;Amir, werde geistig erst mal Reif, und überlege was du schreibst !!!!;nothing
856916561013435;"Viele haben Angst um ihren Arbeitsplatz, ihre Familie und ihren Eigentum ... Im Inneren denken die meisten deutschen genauso wie wir ! 

Keiner will Kriminellen oder Wirtschaftsflüchtlinge neben sich wohnen haben ... Die wohlhabenden sind die ersten die schreien, wenn z.B eine ehemalige Kaserne die für die Musterung genutzt wurde zum Asylanten Heim umgebaut werden soll oder die, die schreien her mit ihnen... Aber im gleichen Atemzug denken, bitte nicht in mein Haus oder Nachbarschaft. 

Wahre Flüchtlinge sind kein Problem , diese fallen nicht negativ auf, zumindest kenne ich keinen Fall 

Es gibt so viele Probleme die uns eigentlich verbinden, nicht nur das Thema Asyl ... Und zu warten bis alles zu spät ist, wäre der falsche Weg";nothing
982744398430650;Mit Mühe und Not erreicht er den Hof ...in seinen Armen das Kind war Tod;nothing
1010699548968468;Brandenburgs AfD-Chef Alexander Gauland hat die derzeitige Asylpolitik heftig kritisiert. Die rot-rote Landesregierung fragte er: „Was haben Ihnen die Bürger in diesem Land eigentlich getan, daß Ihnen Migranten näher stehen als der deutsche Steuerzahler?“ Das Asylrecht müsse ausgesetzt und die Grenzen unverzüglich geschlossen werden. https://www.youtube.com/watch?v=IVQiBhQb8tw;nothing
1011315652240191;Uns kann man nicht mehr unterdrücken. WIR SIND DAS VOLK!;nothing
856847024353722;Putin ist der einzige der Deutschland souverän machen kann.  Pro Friedensvertrag mit Russland!;nothing
857465274291897;Geilste Stadt Deutschlands ! So schaut's mal aus! Ohne Hessen , Bayern und BW hättet Ihr nicht Mals Straßen!;nothing
960895220615568;http://www.presseportal.de/blaulicht/pm/44143/3089491 Einzelfall;nothing
861968353841589;Hahaha welches Volk verrate ich denn? Bezeichnet ihr Mitläufer euch jetzt als Volk zu so einem Volk will ich bestimmt nicht gehören;nothing
994203787284711;aber janz schnell;nothing
1105401626164926;"""religionen muss man in der betr. zeit sehen. alles andere ist blödsinn, - daher ist religion heut blödsinn!""

„Philosophie statt Religion, Vernunft vor Menschlichkeit“!
Aber eben, nicht mal Menschenkenntnis…

Sind Sprüche von mir!";nothing
1064862470218842;dann komm mal in manche ecken vom vogtland??;nothing
856748441030247;Und rechnet mal die mit, die sich nicht getrauen zu gehen, weil Firmen es verbieten! Und da gibt es einige große Unternehmen in DD...;nothing
1065803673458055;Bevor unsere Kinder politische Bildung brauchen,  brauchen unsere Politiker erst mal eine Stunde Aufklärung über Demokratie! !! Nicht die Politiker haben das sagen, sondern das Volk! !!!;nothing
1035107593194330;"Zählt ihr eigentlich noch? ;-)";nothing
876300729075018;"Mir wird's immer kotzübel wenn ich das schwachsinnige Geschwafel von der Erschwernis für das Anwerben von ausländischen Fachkräften höre. Wie lange haben diese Ämter nicht davon gesprochen wie man deutsche Kinder und Jugendliche vernünftig ausbilden könnte. Die Bundesanstalt für Arbeit hat vielmehr das dringend für Aubildung benötigte Geld in sinnlose ""Weiterbildungen und Umschulungen zur besseren Vermittelbarkeit"" gesteckt und das ist, wie inzwischen allgemein bekannt, ein Faß ohne Boden gewesen. Und noch ein Wort an alle Arbeitgeber: Wenn sich dann doch einmal eine gut ausgebildete deutsche Fachkraft bei Euch bewirbt, wird diese doch von Euch abgelehnt weil Ihr die deutsche Fachkraft entsprechend ihrer Ausbildung entlohnen müßtet.";nothing
881954328509658;Damit Sie kinderpornos ziehen können oder wofür soll das sein?;nothing
876575889047502;Was macht Ihr zwei hier???;nothing
862199050485186;Doch jede Woche. Na das klingt doch super! :-) Frag mich dann auch wo die Medien die Infos herhaben...;nothing
856834524354972;Ich gucke es auch nicht, will mich auch sofort davon distanzieren, ich habe es nur gerade beim anschalten gesehen.;nothing
1035158536522569;Ihr seid der Hammer,passt auf den Osten auf der ist noch nicht so verseucht wie der Westen.Was hier in NRW abgeht kann man nicht mehr in Worte fassen,diese verlogene Regierung schaut zu wenn unsere Kinder vergewaltigt und unser Jungens ausgeraubt und verprügelt werden,was ist los in unserem Land?;nothing
1064445596927196;du spricht mir aus der Seele;nothing
1067322989972790;https://jungefreiheit.de/debatte/kommentar/2016/die-front-rueckt-naeher/;nothing
855027667868991;Nur wir zusammen können das ändern und wir schaffen das auch wenn der Weg sehr steinig wird pro pegida;nothing
876412982397126;was kriege bisher nicht geschafft haben, schaffen nun ein paar deutsche da oben ... nämliche uns auszuradieren. ich hätte jetzt gern mal eine zeitmaschine und würde dann in 100 jahren die geschichtsbücher lesen wollen um zu sehen, was die sich für die folgende generation der menschen (schreibe extra nicht deutsche) zu papier (oder e-book) gebracht haben über diese vergangenheit die eben geschrieben wird ...;nothing
1035112406527182;https://www.facebook.com/groups/887572658025297/;nothing
856928334345591;Was für Trottel sind dann die Gegendemonstranten?;nothing
857400190965072;Und Aymen, weil Schweinefleisch einfach seit jeher zu deutschem Essen gehört und nicht Schaf oder Hammel. Es solte zumindest so sein, das zwischen 2 Gerichten (1 mit Schwein, eins mit anderem Fleisch oder auch ohne Fleisch) gewählt werden dürfte. Dann wäre doch auf  j e d e n Rücksicht genommen.;nothing
1121952114509877;"Danke Lisa für deinen kurzen und pägnanten Spruch. Dachte ich auch immer. Ich klaue mir deinen Spruch schnell mal, ohne deine Erlaubnis. :-)
Es freud mich immer wieder, wenn ich sehe welche guten Leute WIR in UNSEREN Reihen haben.";nothing
855032844535140;Ja mit Gewalt und dumpfen Parolen das sind aber nicht wir!;nothing
882024785169279;Der hat Charakter und lebt, was viele gern leben würden: Den Mut zur Wahrheit!;nothing
985461538158936;Ne, nur weil der ein abi hat im Gegensatz zu euch ist der nicht besser oder klüger..;nothing
951906838181073;Ja in Bastschuhen und gehüllt in Jutesäcke sehen sie ganz schick aus;nothing
856791227692635;Er sollte sich mal Sorgen um das Zeckenpack!;nothing
1035127136525709;"Ich habe auch nichts gegen Muslime, die unseren Glauben, unsere Gesetze  und unsere Kultur  respektieren.  Wenn du als Kind von ""Gastarbeitern"" in Deutschland gross geworden bist, dann frag mal deine Eltern,  wie wir alle vor Jahren  friedlich nebeneinander leben konnten. Findest du es richtig, dass es in unserer Heimat mehr Toleranz für Migranten gibt, als für das eigene Volk.  Ganz zu schweigen von der Nazikeule, die überwiegend von jugendlichen Migranten geschwungen wird. Da muss ich dir dann leider sagen, habe ich auch die Schnauze gestrichen voll, denn Deutschland ist meine Heimat und wem es nicht passt, darf sich gerne von anderen Staaten durchfüttern lassen.";nothing
858369634201461;bald ist es vorbei... Dann gibts nur noch den Nazi-Ableger in Leipzig;nothing
1007350639303359;"Schau dir das Bild richtig an . Da steht ein großes D und kein kleines b. Der Slogan lautet "" Wir Dienen Deutschland""";nothing
857433344295090;Uta lass den troll des führt zu nix;nothing
1080338765337879;Johann Schaffer;nothing
882714238433667;Ist mir wurscht;nothing
1010844645620625;Fernseh mit Format gibt es schon lange nicht mehr. Ich kann mich noch an den Start von Tv Total erinnern. Das war damals was neues und echt ne Abwechslung. Heutzutage findet man nichts besseres als 2 Schwachköpfe, diese sich öffentlich zum Affen machen durch sinnlose Wetten etc...?;nothing
1052418811463208;10.000 Gegendemonstranten wo sollen die denn herkommen? ist am Samstag- Zahltag bei den Antifa?;nothing
861956433842781;in der VORSCHULE schon SITZEN GEBLIEBEN;nothing
1063685313669891;Zufallsweise korreliert die Graphik mit den Anteil der muslimischen Schüler.;nothing
1065870270118062;Tillich kann Labern was er will, die Sachsen machen was sie für richtig halten, und nicht was ein Sorbe möchte.;nothing
857179594320465;Die Menschen ja da hast du recht;nothing
877128872325537;Wozu braucht Dland 'Fachkräfte,wenn bei Siemens   3000 Leute o bei Kaufhof 2000 Leute entlassen werden. Firmen verlagern ihre Produktion ins Ausland weil hier durch Mindestlohn u anderen Gebühren sich das Arbeiten nicht mehr lohnt!! Deutschland braucht keine Fachkräfte schon gar keine die aus dem Ausland kommen !!;nothing
855018731203218;Schön zu hören ,Menschen die ihr Land und Landsleute  für ein paar Euros verkaufen finde ich nämlich zum kotzen;nothing
972194996152257;Hier waren sie: https://www.youtube.com/watch?v=d-aL_tRcEKQ;nothing
991243064247450;Respekt vor Euch Patrioten. Grüsse aus NRW. Bald wird die Stimme des deutschen Volkes wieder laut erklingen und die Gutmenschen schweigen wieder. Und weinen. Nutzloses Gesocks.;nothing
1134095906628831;Lerne lieber mal Flutopfer persönlich kennen.Das die sich nicht schämt.Sowas regiert unser Land.Ich kann nur noch kotzen.;nothing
856998384338586;Nein,demokt.ist nicht einfach aber  erstrebenswert.;nothing
857836144254810;":D :D :D Das Video einer Satiresendung als ernsthaftes Recherchematerial zu bezeichnen ist schon klasse. :D  Oder bist du selbst Satire? ;)  Hoffe du fragst dich nicht warum man das nicht für voll nehmen kann.";nothing
935378459833911;"Das ""Umdenken"" wird passieren!";nothing
857567904281634;https://scontent-a-fra.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/p480x480/10428526_420778338079021_6279465508403567058_n.jpg?oh=5e44b92532582757c97758674622d6c1&oe=55272D30;nothing
1035197319852024;??????????;nothing
876248322413592;Genau und deshalb geht es los,dass pegida so langsam weltweit vertreten ist,weil kein Land der Welt Zuwanderer will XD ich Krach ab vor lachen....;nothing
1108230542548701;Heide Pütz Danke, genau das wäre meine Antwort gewesen, oder so ähnlich...;nothing
894854420552982;Todenhöfer, Schizophrenie im Endstadium.;nothing
856798267691931;Frau Monika Bohn ist so hohl, das kommt dabei raus wenn man 3 oder 4 mal eine extra runde in der Schule dreht und in der 5.klasse wegen notorischer Blödheit  entlassen wird;nothing
1105784402793315;süße Ferkelchen mir der Sau über das Gelände treiben;nothing
1055079691197120;UNGLAUBLICH... bitte lesen und überlegen was das für Deutschland bedeutet... das ist Wahlmanipulation vom allerfeinsten sollte das durchgehen... und bei den bekannten Partein geht das durch... grüne, linke, fdp und spd... gute Nacht Deutschland : http://m.haz.de/Nachrichten/Politik/Niedersachsen/Landtag-will-Wahlrecht-fuer-alle-Auslaender-einfuehren;nothing
1063690957002660;So geil, das unter den ersten 6 nur ein altes bundeland ist! :-D aber das bestätigt zumindest, dass ab einem migrantenanteil von 30% in einer schulklasse, die gesamtleistung messbar abnimmt und dieser leistungsabfall ab 50% signivikant wird.;nothing
855417087830049;Dresden ist wirklich ne sehr schöne Stadt...allerdings wäre sie noch schöner ohne das braune Gesocks!Aber da können ja die Anständigen und Gebildeten Dresdner nichts für.;nothing
1012429162128840;"Was sagt uns das?
Der Wessi war schon immer und wird immer fremdenfeindlich und rassistisch sein. :D";nothing
1010784205626669;dem ist nichts aber auch Garnichts hinzuzufügen !!!;nothing
882078928497198;Mich interessiert nicht, woher die nun ihre Kohle herbekommen, es ging darum, wie unintelligent unsere Zukunft ist.;nothing
857813784257046;Das hat damals niemanden gejuckt. Hauptsache alles platt machen. Niemand sollte überleben. Vielleicht sind deswegen in Dresden auch mehr auf der Straße als in jeder anderen Stadt.;nothing
952107994827624;Das aller schlimmste ist : Es gibt immer Leute die sogar mit Dreck Geld verdienen.;nothing
1056955134342909;ich bekomme auch kein Asyl wo anders , da muss man selber bezahlen , Politik für den eigenen Untergang gemacht , toller Staat hier .;nothing
982668378438252;http://www.focus.de/immobilien/mieten/zwangsvermietung-enteignung-wann-der-staat-vermietern-fluechtlingen-aufzwingen-darf_id_4951598.html;nothing
1012383338800089;Lieber ein volles denn ein leeres Gehirn.;nothing
856899291015162;LÜGENPRESSE !!!   https://www.facebook.com/photo.php?fbid=10205577360098455&set=a.1148728443504.2022962.1386379669&type=1&theater&notif_t=like;nothing
982747248430365;Top Interview mit Orban: http://m.diepresse.com/home/politik/aussenpolitik/4822692/index.do?xtor=CS1-15;nothing
855161874522237;https://www.youtube.com/watch?v=v_EWWyJfgPc :D grüße an den hartmut;nothing
1012407232131033;Owen Wilson  , Sie passen ! :-)  Super geschrieben ! :-)  Ich liebe diesen Sarkasmus ! :-)  Danke das Sie mir ein Lachen ins Gesicht gezaubert haben ! Geil ! :-) :-) :-) Sie schreiben mir aus der Seele ! :-);nothing
885824698122621;auf N24 wird berichtet;nothing
1007242295980860;"Eigeninteressiert sie, dass die Schwarte kracht!

Das gibt nen taktischen Daumen!";nothing
935604169811340;Wir ossi's waren schon immer Kämpfer;nothing
895215887183502;"Diese Zahl von 95% ist im Netz an verschiedenen Stellen zu finden, ich zitieren den Tagesspiegel vom 05.03.2015
'Antisemitische Straftaten in Deutschland gehen überwiegend auf das Konto von Rechtsextremisten. Wie die Bundesregierung in der Antwort auf eine parlamentarische Anfrage der Grünen mitteilt, wurden 2013 insgesamt 1275 judenfeindliche Straftaten registriert, 1218 davon wurden der ""politisch motivierten Kriminalität rechts"" zugeordnet, 31 dem Bereich ""Ausländer"". Keine der Straftaten wurde demnach in diesem Jahr von Linksextremisten verübt, 26 Fälle erfasste man als ""Sonstige"".'";nothing
856755977696160;Ja und morgen rennt hubi zur gegendemo und denkt sind alle gegen pegida?das vielleicht die masse da hin geht um mal gratis bissel Musik zu hören?darauf kommt er nicht:-);nothing
854995641205527;setzt einfach greifbare ziele!!! dann folgen euch die menschen.;nothing
968092359895854;Mathias Claus, was sollen die in Polen ? Polen ist eine Kollonie von den Russen ! So wie wir eine Kollonie von den Amys sind ! Diese Menschen sollen einfach in Ihr Herkunftsland zurück ! In Ihren Herkunftsländern gibt es mehr als genug Arbeit ! Ossis haben wenigstens Land mitgebracht !;nothing
982770678428022;Ich wünsche dir das du niemals fliehen mußt! Hast du dann auch Angst um deine Kinder?;nothing
856730424365382;"DANKE DRESDEN!!!

Schätzungsweise um die 20.000 - 25000 Mitbürger/innen waren heute zum Sonntag auf unserer PEGIDA - Demonstration.
Ihr seid spitze!

Unser Dank geht hiermit auch noch einmal an die vielen Einsatzkräfte der Polizei, die es ermöglichen, dass wir unsere Demonstrationen  durchführen können.

#DRESDENZEIGTWIESGEHT (Y)";nothing
1010188082352948;https://twitter.com/IamTeamIK/status/666481561131483137;nothing
858219207549837;nicht mit anderen ..Camps verwechseln bitte :D;nothing
983016681736755;http://www.sueddeutsche.de/politik/deutschland-nach-dem-zweiten-weltkrieg-wie-sozialistische-kampagnen-den-truemmerfrauen-mythos-praegten-1.2250207;nothing
1152512788120476;Erinnert mich irgendwie an die Judenverfolgung..... :-(;nothing
856884764349948;"Fragt doch mal bei der Presse nach ob die Teilnehmerzahlen für die ""Gegendemo"" morgen schon durchgegeben worden sind";nothing
856837237688034;Eigentlich  klappt  es  in ganz Deutschland  in Dresden  sammelt sich das Volk von 20000. Die restlichen 81980000 sind Zugewanderte  und Migranten  ??;nothing
856827471022344;Unsere Presse darf nicht Schreiben das Ausländer diese Straftaten begehen! Traurig aber wahr!;nothing
983080535063703;Kompliment an Ungarns Regierung .;nothing
1010362282335528;"Bitte nicht schon wieder in Schwarz-Weiß-Denken zurückkehren. Liebe Frau Pütz, wenn Sie keinerlei Angst haben, warum sind Sie dann so wütend? Warum sprechen Sie von ""illegal einreisenden Nichtsnutzen""? Warum scheren Sie damit alle Flüchtenden über einen Kamm? Nein, niemand soll sich beleidigen lassen. Aber bitte auch nicht beleidigen. Es geht darum, Lösungen zu finden. Und übrigens: Wenn ich vor etwas Angst habe, dann vor genau diesem ""Wir sind viele und wir wissen ganz genau, was richtig ist"" und dem daraus folgenden ""Alle, die nicht unserer Meinung sind, sind Vollidioten"". So grundsätzliche Aussagen wie:  ""Alle Asylanten sind Bereicherer und nehmen uns Deutschen alles weg und überrennen uns kulturell"" sind für mich so ähnlich wie: Alle die jemals auf einer Pegida-Demo waren, sind Vollpfosten und rechtsradikal. Ich kenne Sie nicht und kann und will also nichts über Sie sagen. Aber das ist das, was ich bei Pegida ständig sehe. (ja, mit anderen inhaltlichen Aussagen, aber mental nicht minder ""vollpfostig"", auch bei einigen auf der Nicht-Pegida-Seite). 
Dies macht mir eine gewisse Angst, weil hier der Samen für eine alle Andersdenkenen niedermachende und verfolgende Bewegung liegt, die ganz schnell darin endet, dass man einem Anführer hinterherläuft. 
Macht es nicht mehr Sinn, gemeinsam zu sprechen und Lösungen zu suchen für eine politische Situation, in der sicherlich niemand zufrieden ist?";nothing
882695605102197;"Opfer Marokkaner, mutmaßlicher Täter Tunesier, warum sind das Flüchtlinge?
In keinem der beiden Länder herrscht Krieg, im Gegenteil, viele Deutsche machen dort Urlaub, es sind also illegale Einwanderer, die umgehend abgeschoben gehören.
Dieses Opfer wäre wahrscheinlich noch am Leben, wenn er postwendend in sein Heimatland zurückgeführt worden wäre.";nothing
857144830990608;Also die 10 € pro Stunde, bei der Gegendemo zahlt, glaube ich, Herbert Grönemeyer aus, bei PEGIDA gibt's kein Bargeld, kann aber sein das Deine Kinder und Enkel davon profitieren.;nothing
888020431236381;Wollen wir es hoffen. Hier zeigt Frankreich mal wie es gehen könnte;nothing
1064411476930608;Sabine Zimmermann das ist natürlich ein mega gutes Beispiel. Logisch sagen sie da das es brennt, damit sie es den bösen, bösen Nazis anhängen können. Wenn aber unsere Neuankömmlinge Scheiße bauen wird immer versucht das Mäntelchen der Verschwiegenheit darüber zu decken. Allein ihr Kommentar zeigt wie naiv sie sind.;nothing
856885294349895;Also im Gegensatz zu den Rechtschreibkenntnissen eurer Durchschnittspegidaner war das doch hohe Schule.;nothing
995797167125373;170.000 Danke PEGIDA (y);nothing
1111307592240996;Finde ich ok.In dem Moment,wo sie einen Duldungsstatus als auch eine sozialversicherungspflichtige Tätigkeit haben,sollte diese Chipkarte wegfallen .So kann man doppeltes Abkassieren verhindern und auch die Residenzpflicht bei Bedarf kontrollieren .Das ist nicht menschenunwürdig sondern einfach das Recht des Gastgebers.Die wirklich Bedürftigen sollte dies auch nicht stören,denke ich.Denn.sie sind ja versorgt und gesichert.Mehr ist ja auch nicht vorgesehen.Ich sehe da überhaupt keinen Grund für eine Debatte;nothing
1124561034248985;Dann geh selber mit hin. Somit schon einer wieder mehr;nothing
856952791009812;"Horst :-D ;)";nothing
855000391205052;weiter so ...jetzt  erst recht ..;nothing
982639978441092;Angst.;nothing
857194980985593;Schöne heile Welt, so verdreht man die Realität. Ach wo sind die Korianer geblieben die mal hier waren, und Ärtzte hier, haben ihr Land im Stich gelassen werden dringend in ihrem Ursprungsland  gebraucht. Wir haben genug deutsche Ärtzte usw.......;nothing
1064990053539417;"....was das wars schon?Mir fehlt jetzt noch: ""...der hilfsbereite Finder ließ gleich noch die Saiten austauschen und übergab das Instrument komplett gereinigt und gestimmt bei der Polizei ab..."" ;)";nothing
968107796560977;http://www.rnz.de/nachrichten/metropolregion_artikel,-500-Fluechtlinge-in-Sinsheimer-Messehalle-Stadt-fuehlt-sich-ueberrumpelt-_arid,120632.html;nothing
1096075123764243;Nein, so etwas wollen wir in Deutschland nicht haben. Die sollen bleiben, wo der Pfeffer wächst.;nothing
993993600639063;https://www.youtube.com/watch?v=J-UQcOGLDLY;nothing
856957081009383;Das hat nichts mehr mit freier Meinungsäußerung und Toleranz zu tun... Das ist Unterdrückung und Zensur... Viele Bürger der ehemaligen DDR werden die Vorzeichen gut genug kennen...;nothing
856904241014667;"nöö von PEGIDA selbst... aber immer schön gegen den Staat hetzen :D Dann wanderts doch aus WENN es euch hier nicht gefällt ;)";nothing
856743074364117;Wird wohl nicht passieren! Die haben Angst, dass noch mehr aufwachen!;nothing
861950493843375;Soll der Hohlkörper doch die Verblödung schauen, so was ist eh keine Hilfe !;nothing
856862907685467;Lieber Peter Frankfurter : Das ist ja auch der Grund, warum hier im Westen keine Pegida-Demos in der Grössenordnung des Ostens zustande kommen - Gewalt von Links. Hier im Westen ist die Sozen-Gewerkschafts-Antifa vile weiter verbreitet und bestens organisiert. Da kannst Du Dein Recht auf Demonstrationsfreiheit nur wahrnehmen, wenn Du Deine Gesundheit riskierst. Aber vielleicht können wir ja doch noch vom Osten Demokratie lernen.;nothing
857376630967428;Ihr seid viel zu verbohrt, Euch kann man nix aufzwingen.;nothing
1056919414346481;GENAU!! Nehmlich zu heulen lachen ist anfangen uns 127 lassen!!!;nothing
887997701238654;In Deutschland schaut es aber so aus:http://m.welt.de/politik/deutschland/article138669557/Warum-Deutschland-so-wenige-Asylbewerber-abschiebt.html;nothing
968022463236177;Genau, den Dalai Lama!;nothing
1108460215859067;also warum lassen die sich das gefallen..?;nothing
1152512384787183;Darf ich als Arbeitgeber einen Bewerber ablehnen der NICHT Mitglied in der AFD ist? Mach ich wohl ab jetzt....;nothing
882706555101102;Monika Scholl hat Recht und du Toni Morgenstern mit deiner Schönrederei am Ende !;nothing
968107236561033;"Aber die Murksel sagte als ""Chefin"" mal wieder gar nichts, und das ist der Fehler! Die möchte es wieder aussitzen...";nothing
