"";"id";"description";"DBO"
"3791";1035155493189540;"Erfahren wir nächsten Montag,siehe Livestream Rede von Lutz";"nothing"
"158";1069188699786219;"In der Umfrage liegen die Grünen bei 32%, die AfD bei 13%!!! Ich begreife das nicht...";"nothing"
"7467";1092184574153298;"Geile idee könne als Pilotprojekt auch gern dann weltweit zum Beispiel werden";"nothing"
"756";1063266350378454;"Auf so viel Dummheit muß man nicht antworten. Das passiert überall auf der Welt.Ob in Deutschland oder anderswo. Ob deutsch,spanisch,italienisch,portugiesisch...";"nothing"
"4309";989173224454434;"Was für eine Aufregung im Blätterwald, Kanada ""warnt"" vor Reisen nach Ostdeutschland und natürlich wird #PEGIDA als ein Verursacher genannt. 

http://www.handelsblatt.com/politik/international/pegida-und-fluechtlingsandrang-kanada-warnt-vor-reisen-nach-ostdeutschland/12388274.html?social=facebook

Schauen wir doch mal genauer hin, die #Presstituierten der #Journaille haben da nicht so viel Zeit dazu. (y)

Nun, diese Reiseinformationen mit der Warnung vor ""extremistischen Jugendbanden, die in Teilen Ostdeutschlands eine Bedrohung darstellen"", stammen schon aus dem Juli 2014, da gab es PEGIDA noch gar nicht.

Aber in der Hybris mit dem Namen PEGIDA Auflage zu erzeugen und Klicks zu erzielen, kann man das schon mal übersehen, nicht wahr?

http://web.archive.org/web/20140717232849/http://travel.gc.ca/destinations/germany

Eine Ergänzung der Reiseinformationen erfolgte im Frühjahr 2015, dabei änderte sich aber nichts von dem, worauf sich die Presse jetzt stürzt.

http://web.archive.org/web/20150317023047/http://travel.gc.ca/destinations/germany

Aufgrund der neuen Situation durch die Flüchtlingsströme, wurde die Reiseinformation zu der jetzigen Form aktualisiert.

http://travel.gc.ca/destinations/germany

Darin enthalten ist folgender Abschnitt zumöglichen gewalttätigen Auseinandersetzungen, hier der aktualisierte Abschnitt in englisch.

(...)There has been a significant increase in the number of migrants and refugees entering Europe. Some countries have already experienced disruptions to transportation services, including at ferry ports and railway stations, and have seen major delays at border crossings. The situation also heightens the potential for demonstrations that could turn violent without warning, particularly, at railway stations and other transportation hubs. If you are travelling in the region, monitor local news and follow the advice of local authorities, and contact your transport carrier to determine whether the situation could disrupt your travel.(...)

Die Übersetzung:

(...)Es gab einen signifikanten Anstieg in der Zahl der Migranten und Flüchtlinge die nach Europa einreisen. Einige Länder haben bereits Störungen des Transportdienstleistungen erlebt, auch auf der Fährhäfen und Bahnhöfen und erlebten große Verzögerungen an den Grenzübergängen.

Die Situation erhöht auch das Potenzial für Demonstrationen, die ohne Vorwarnung in Gewalt umschlagen könnten, insbesondere an Bahnhöfen und anderen Verkehrsknotenpunkten.

Wenn Sie in der Region unterwegs sind, verfolgen sie die lokalen Nachrichten und befolgen Sie die Ratschläge der lokalen Behörden.(...)

Also für mich liest sich diese aktualisierte Warnung in einem ganz anderen Zusammenhang, als ihn die #Qualitätspresse darstellt, was meint ihr?

Jetzt mal ernsthaft liebe ""Journalisten"", macht ihr das mit Absicht, oder habt ihr wirklich keinen Plan?

Ach ja, ähnliche Reiseinformationen gibt es auch für Frankreich, aber da kann man ja mit PEGIDA in der Schlagzeile keinen Umsatz machen.

http://travel.gc.ca/destinations/france

#PEGIDA #AufDieStraße #MontagIstPEGIDATag";"nothing"
"4116";984693704902386;"Juergen Weidner, weißt du überhaupt wer Karl Marx ist? Das ist die ideologisch andere Seite von euch Rechten. Und komm mir jetzt nicht mit Linksfaschismus oder nationalem Kommunismus";"nothing"
"806";1063424143696008;"Davon habe ich mehr als genug. Bitte Groß- und Kleinschreibung beachten.";"nothing"
"8035";957619584276465;"Laut Onlinespiegel sind wir (sinngemäß) Weicheier, weil wir uns beim Regenguss unter die Altmarktgalerie-Arkaden gestellt haben. Ok, nun wissen wir, was die gegen uns noch vorbringen können. :-)";"nothing"
"7122";925540494151041;"1. Bin ich nicht dein freundchen. 
2.nur weil du in Frankfurt geboren bist weißt dich das nicht als Fachmann aus.
3.wenn du dir den Schuh Gutmensch und Idiot anziehst bist du selber dran schuld.
4.wenn andere Religionen gefährlich sind habe ich sehr wohl ein Problem damit.
5.deine Ferndiagnose mit Paranoia kannst dir schenken weil du kein Fachmann dafür bist und selbst wenn du einer wärst würde es dich disqualifizieren weil jemanden den man nicht kennt den kann man auch schlecht bis gar nicht diagnostizieren.

Lass es einfach und schau in deiner Heimatstadt einfach mal genauer hin und betrachte es lieber mal mit anderen Augen.
Der Blick von aussen kann durchaus hilfreich sein.";"nothing"
"4788";1097837446921344;"https://www.facebook.com/1601360926768290/videos/1697012743869774/?fref=nf&__mref=message";"nothing"
"3554";982641451774278;"5 Euro für Ungarn.";"nothing"
"1844";1111938908844531;"Na ja, Nicht alle, Sind ja nicht alle blöd";"nothing"
"3719";1035343533170736;"Das ihr immer noch auf die Straße geht finde ich persönlich super.
Unsere Regierung interessiert das allerdings schon lange nicht mehr.
Warum auch, es läuft weiter alles nach Plan.";"criticism"
"2638";982766721761751;"Dieser manner werden in nahe zukunft private grosse Hauser besetzen. Dann kugen wir was passiert. Ich werde es geniessen";"nothing"
"7879";960861953952228;"ich kann das langsam nicht mehr einordnen...ist es nur zur Beruhigung des Volkes immer mal wider ein bisschen durchblicken zu lassen, ja ihr habt ja recht ... ich glaube denen kein Wort !!! Ungarn und die anderen Länder haben gehandelt ... und sind sehr deutlich, was diese Frage anbelangt...";"criticism"
"948";1063273040377785;"Da gab's doch mal ein Kinderlied. Es ging um 10 Stück , ähm. Ich überlege noch.";"nothing"
"443";1134742193230869;"Was soll das denn???";"nothing"
"5264";1010200022351754;"wer seinen blutdruck verdoppeln möchte muß sich unbedingt mal das hier durchlesen. http://www.faz.net/aktuell/politik/inland/pegida-aus-diesem-schoss-kann-etwas-kriechen-13916629.html#GEPC;s6";"nothing"
"84";1064634410241648;"Die Sachsen haben viel Unterstützung aus dem Ausland. Ich sage nur Polen oder Tschechien. Die Gutmenschen sind mittlerweile ein jämmerlicher Haufen. Sie sind mittlerweile in der Minderheit und ganz Europa schüttelt nur den Kopf über solch naiv kranke Menschen";"nothing"
"3939";1035100573195032;"Super, was ihr Dresdner jede Woche auf die Beine stellt, Ihr seid einfach spitze!";"nothing"
"7081";888000367905054;"Pardon";"nothing"
"6497";882920248413066;"Pietät ist ja auch immer subjektiv... Dietmar: Keines. Angelo: Versteh deine Message nicht.";"nothing"
"7318";888156074556150;"Die Franosen haben vor einen Krieg zu gewinnen? ^^";"nothing"
"2350";1053354491369640;"Der Klügere gibt solange nach, bis er der Dumme ist.";"nothing"
"5589";1011257425579347;"Sandra Brückner nicht überall ist das so, dass Polizei auf der Linken Seite steht. Liegt am Polizeipräsidenten der jeweiligen Landesregierung.";"nothing"
"2908";1057125190992570;"Wir schaffen das  !  :)";"nothing"
"3817";1035121233192966;"Da bekomme ich gleich steife Nippel??";"nothing"
"6780";1012422012129555;"Nun wenn es dem einen oder anderen hier zu unterirdisch ist was sucht er dann hier noch. Macht Euch doch auf und sucht euresgleichen oder habt ihr etwa immer noch die Hoffnung hier was hochgeistigeres zu finden was ihr ganz schnell retten müsst ?";"nothing"
"1679";1111932852178470;"War wieder eine super Veranstaltung";"nothing"
"9103";1010176549020768;"MDR berichtete von Pegida,berichtet? Keine Informationen und Analysen über die Reden bei Pegida sonder nur es waren weniger Menschen auf der Demo,Hooligans als Ordner usw.Was für ein bescheuerter Beitrag vom MDR.Alles nichts sagend.";"nothing"
"7685";1088473514524404;"Super ! Weiter so ! ""Neue Patrioten"" braucht das Land ! Auch in Deutschland ! Möglichst standhafte. :-), P.";"nothing"
"2156";1043702025668220;";-) die Kirsten.. .. verdirbt uns nicht die Lust auf Arbeit (Trolle ausblenden! weil zwecklos)";"nothing"
"5430";1011594512212305;"...aufs Maul schauen.....vertippt. Man möge es mir nachsehen.";"nothing"
"4158";985651848139905;"Sat 1 berichtet über lächerliche 7500";"nothing"
"7849";960929110612179;"Ohne viel blabla,müßten schon weg sein !!!";"nothing"
"1226";862020527169705;"Von euren Pegida-Rednern ;)";"nothing"
"3594";982669028438187;"Da zeigen uns die FLÜCHTLINGE was auf uns zu kommt wenn es nicht so läuft wie sie es sich vorstellen!!!!!";"nothing"
"599";1152518994786522;"Kindergarten";"nothing"
"578";1134204919951263;"Die Frau braucht einen Betreuer";"nothing"
"4048";985420794829677;"topp";"nothing"
"1131";1063706457001110;"Böse wer daraus den Ausländeranteil der Länder ableitet????";"nothing"
"3667";1035154053189684;"Schön, beim Singen viel Gänsehaut. ??";"nothing"
"7852";960924337279323;"nicht nur fordern sondern auch umsetzten und genau da liegt das Problem, Rot/Rot/Grün ist da anderer Meinung";"criticism"
"3926";1035117356526687;"Danke Dresden ich beneide euch um eure Gemeinschaftlichkeit und euren Zusammenhalt.....und stehe in Gedanken euch bei";"nothing"
"3351";982667521771671;"die armen hilfesuchenden setzen sich über geltendes europarecht hinweg und das mit gewalt also weg damit können sich zu hause austoben";"nothing"
"8325";855120424526382;"Bei dir im Kopf aber auch.";"nothing"
"87";1065841533454269;"neee - iss klar, - wenn die ethnische Umformung bissl holpert dann halt staatliche Umerziehung - wie bei Väterchen Stalin und Vattern Honecker ...";"criticism"
"1677";1111630878875334;"Nur so geht's!";"nothing"
"6736";1012398645465225;"=) Ich brauche einen Vertrauensvorschuss von Euch! Sonst ein Teil meiner Antwort macht Euch alle unsicher!";"nothing"
"8884";945828522122238;"Warum nicht auch mal MÜnchen???";"nothing"
"1198";876263995745358;"Wer wäre Schuld wenn es PEGIDA nicht gäbe? Was hat die Arbeitsagentur schon geleistet? Vermitteln doch nur Schulungsmassnahmen die irgendwo in der Prärie stattfinden mit dem Hinweis das Geld kann man sich ja wiederholen. Ja und an wem liegt es das wir angeblich keine Fachkräfte haben? Das kann nur der Kultusminister mit seinem hirnrissigen Bildungsprogramm beantworten. Wenn in der Schule mehr Stunden Ethik wie Mathematik unterrichtet wird oder in Deutsch türkisch statt Goethe und Schiller unterrichtet wird. Man denke auch an die Ausfallstunden weil Lehrer krank sind, ein Deutschlehrer darf kein Mathe unterrichten aber ein Religionslehrer ist ja gerade frei.";"criticism"
"6850";1013382208700202;"Ines Hartmann Du hast schon gemerkt, dass ihr euch da n Text vom BR als grundlage gesucht habt ? Schon gemerkt, dass die auch zu den öffentlich rechtlichen gehören ?";"nothing"
"2459";982771595094597;"Na wie ein Flüchtling sieht der aber nicht aus tatoo auf den rechten arm muskulös gut genert komisch komisch";"nothing"
"1713";1111630342208721;"9";"nothing"
"2726";982736965098060;"Sie können die Asylforderer vielleicht nicht mehr aufhalten aber die Patrioten die jetzt alle aufwachen werden auch nicht mehr!!!!";"nothing"
"839";1063652380339851;"Erschreckend ist Baden-Württemberg, diese Land war immer stark bei der Bildung. Was nur 5 Jahre Grün-Rot anrichten können! Diese Parteien kann man einfach nicht regieren lassen, Gott sei dank werden solche Koalitionen durch den Aufstieg der AfD in der Zukunft so gut wie unmöglich.";"criticism"
"290";1065805330124556;"Gutes Beispiel. Das Gegenteil war der Fall.";"nothing"
"8962";1007131195991970;"Ein pfiffiges Kerlchen unser Steini.  (y)";"nothing"
"2899";1063263553712067;"Ja ... zuviel Sonnenschein im wüstenstaat abbekommen. .. ??";"nothing"
"3586";982668571771566;"Diese Feiglinge..lassen ihre Familien zurück und kämpfen nicht für diese aber können Steine werfen. ..Da sieht man mal wie die ticken";"nothing"
"1847";1111335822238173;"Schon passiert letzte Woche.";"nothing"
"8212";861943530510738;"Ha haa haaaaa.....  Jawollo! So langsam ""dämmert"" der Grund der PEGIDA-Bewegung jedem!!! ENDLICH! https://www.youtube.com/watch?v=LLoyqeudSEc";"nothing"
"2357";1052475711457518;"Das ist das Eingeständnis eines Polizeipräsidenten, dass die Staatsmacht die Demonstrationsfreiheit nicht mehr schützen, die Sicherheit der beteiligten Menschen nicht mehr sichern kann. Aber warum kommt die Möglichkeit nicht  zur Anwendung, einer Gegendemonstration einen entfernteren Ort anweisen, wenn dafür gewichtige Gründe vorliegen, zum Beispiel wenn gewalttätige Auseinandersetzungen mit Gefährdung unbeteiligter Dritter zu erwarten sind. Genau das ist doch hier der Fall und das sieht ja wohl auch der Polizeipräsident von Dresden so, sonst wäre sein Aufruf unsinnig. Da die Gewalt erfahrungsgemäß immer von den Gegendemonstrationen bei solchen Gelegenheiten ausgeht und sich wie immer gegen jeden Teilnehmer und neugierigen Besucher der Pegida-Demo sowie ihr Eigentum (PKW z.B.) genauso wie gegen die Polizisten als Vertreter der Staatsmacht richten wird, sollte doch genügend Grund vorliegen, die Gegendemonstration, deren Gegenstand die Massenmedien sowieso mehr als genug Öffentlichkeit bieten, an eine solchen entfernten Ort zur Not auch gegen den Willen der Veranstalter zu verlegen. Aber genau das wird nicht geschehen, weil die Politik offensichtlich hofft, dass die Pegida-Besucher irgendwann allein aus Angst vor den Linken der Demonstration fernbleiben. Genauso - also Androhung einer solche Situation - kann man dieses Statement nämlich auch lesen.";"criticism"
"6413";882677958437295;"Welch unsagbare Tragik ................................................................................";"nothing"
"8237";861954883842936;"Wird auch wieder Zeit auf die Straße zugehen , sonst schlafen die Politiker wieder ein.";"criticism"
"2316";1052420611463028;"Die Polizei wird nur unnötig unter Druck gesetzt wenn ständig irgendwelche Gegendemos genehmigt werden.";"criticism"
"5850";855020994536325;"Pegida - laßt euch nicht verrückt machen und geht den Weg weiter, den ihr eingeschlagen habt. Auch wenn dieser Weg oft holprig, wie manch deutsche Straße ist. ;) Und Kritik an Pegida bedeudet, das der Verein lebt! Oder wer zieht schon über Tote her? Gibt da nen Spruch: Was uns nicht umhaut, macht uns stärker. :)";"nothing"
"638";1121713824533706;"bin dabei";"nothing"
"1001";1063998590305230;"Sachsen war schon immer die Avantgarde: Bebel, Wilhelm Liebknecht: Sachsen! Goethe, Schiller: Wahlsachsen!

Mein Vater: Sachse! ;-))";"nothing"
"1777";1120179601353795;"Mitarbeiter/Mitarbeiterinnen bestimmter Medien waren noch nie unabhängig. Die besten Lügner bekommen anschließend einen Job im Regierungsgebäude. Und dann können sie ihr Meisterstück abliefern.";"criticism"
"4982";876352465736511;"Liegt daran das immer mehr Leute wach werden;)";"nothing"
"516";1134526369919118;"Alleine möchte man einfach nicht mehr auf die Straße ??????";"nothing"
"7204";935321696506254;"Der Vogel ist im Kasten hoffentlich bleibt das so. Nun muß man deren Moscheen schließen die Hass und Gewalt gegen ethnische Deutsche Predigen und aus unseren Land werfen. Sogenannter Frühlingsputz ist dringend nötig";"nothing"
"8719";945834648788292;"Da wird es einen schon sehr übel.";"nothing"
"7595";1092001644171591;"genau solche nachrichten habt ihr auch nöttig um die wahren gründe zu verstehen was so im osten ab geht und wer dafür verantwotlich dafür ist .";"nothing"
"522";1134244493280639;"Die dumme Nuss die dumme";"nothing"
"2582";982702045101552;"diese Arme der IS ist schon da.";"nothing"
"7344";935275609844196;"Die haben sicher nur einen neuen ""Lies mich""-Stand geplant... :D";"nothing"
"9297";991265294245227;"Oh man";"nothing"
"5351";1010362219002201;"Rainer Grüner, er glaubt es.";"nothing"
"500";1134077273297361;"Ne Danke kein bedarf die Frau ist besessen von ihre Politikrichtung….. Soll ihr Amt niederlegen ist besser";"criticism"
"8913";945883412116749;"Vielleicht ist der drastische Mietanstieg ein erster Weg damit sich dieses Pack hier nicht wirkich festsetzen kann. Für ""Fachkräfte"" sollte der Mietpreis bei mindestens 25 Euro/ Quadratmeter liegen. Das würde kein Amt der Welt zahlen und die ""Fachkräfte"" müssten dann eh woanders auf Suche gehen.";"nothing"
"9020";1007242295980860;"Eigeninteressiert sie, dass die Schwarte kracht!

Das gibt nen taktischen Daumen!";"nothing"
"8867";945837508788006;"Schade das Franz Josef Strauß nicht mehr lebt.Der würde dem ganzen ein Ende setzen.";"nothing"
"554";1134073023297786;"Nein Danke!!!!!";"nothing"
"5155";876346302403794;"Ich als Ausländerfreund habe die Schnauze von Moslems voll. Alle anderen sind mir herzlich willkommen!";"nothing"
"5022";876288869076204;"Es kommen doch Jahr für Jahr 200.000 Fachkräfte! ??";"nothing"
"1863";1111529922218763;"Schon einmal ein Anfang um massenhaften Betrug zu verhindern. Jetzt müssen noch die anderen Anreize zur Einwanderung nach Deutschland abgeschafft werden.";"nothing"
"8857";945839592121131;"Das ist nicht nur in München so...";"nothing"
"5364";1010197572351999;"An der Seite der Peschmerga.";"nothing"
"2851";982695428435547;"sollte es hier los gehen werde ich meine familie und mein land bis aufs blut verteidigen die haben eh keine chance keine";"nothing"
"2888";1057770017594754;"127  Scheinasylis, potentielle Schläfer des IS  ""massenweise"" abgeschoben , vermutlich von ""NAZIS"".... Manchmal machen NAZIS auch etwas richtig gut ...";"criticism"
"7255";935658536472570;"Nein, das ist eine Brut und Verbrecher";"nothing"
"4862";876402385731519;"Weil sie ein ordentliches Gehalt wollen und keiner will es zahlen ....";"nothing"
"514";1152509871454101;"Die Massenmedien werden von der Nato dem verlängertem Arm der Amerikaner gelenkt!";"nothing"
"3740";1035182749853481;"Es geht eindeutig weiter...";"nothing"
"3134";1063233230381766;"Uiuiuiui ??";"nothing"
"8872";945848632120227;"Wer Pegida Stammtisch Scheisse postet/liked wird wie bisher gelöscht ??";"nothing"
"466";1134074543297634;"Sofort abwählen";"nothing"
"2497";982912908413799;"Solche und noch schlimmere Bilder werden wir bei uns in Deutschland bald öfter sehen.";"nothing"
"1496";862265807145177;"120 Jahre nach Ausrottung der Indianer in den USA? Sorry, there are still living Indians in the US! Erst informieren, dann reden!";"nothing"
"8809";945873385451085;"Ich bekomme das kalte kotzen";"nothing"
"3541";982664691771954;"Hilfe ????????";"nothing"
"481";1134237523281336;"Negativ !";"nothing"
"5717";855027861202305;"so wirbt die ""Gegendemo"", damit Teilnehmer kommen .... Ohne weitere Worte....";"nothing"
"4363";985373451501078;"Grüße  aus Österreich...wär jetzt gern bei Euch";"nothing"
"4795";1096075280430894;"haben die dort keine Wasserwerfer ?";"nothing"
"3076";1056719151033174;"Garantiert nicht!!!";"nothing"
"1288";861984920506599;"Ah Antifa Troll an Bord. Na weint das Baby weil im der Schnuller jetzt weg genommen wird???????????lerne erstmal was fürs  leben und trag dein beitrag zur Gesellschaft bei.nur tanzen,klatschen und singen, bringen ein nicht weiter.";"nothing"
"1721";1111816788856743;"Richtig. Bargeld ist ja schließlich der wahre Grund warum die hierher gekommen sind. Jetzt muss die Integration in Vordergrund stehen. Arbeiten. Keine Sonderbehandlung beim essen. Kein Schächten von Tieren. Keine Beschneidung bei Kindern. Keine Zwangsheirat. So erledigten sich alle Probleme von selbst.";"nothing"
"7651";1095903190448103;"Die fordern und schicken die Kinder vor, so was freches, m?ssen alle erdt mal in Knast und dann zurück  Ihr Land aufbauen und nicht hier schmarotzen !!! Die sind nicht traumatisiert, denn dann würden Sie sich nicht so scheiße benehmen ! Aber sollen ja unsere Facharbeiter sein, nur zum lachen wenn ich nicht kotz... m?sste !";"nothing"
"6331";882710441767380;"Fassungslos und erschüttert,jetzt kommen sie auch noch zum Sterben hier her. Selbst das ist hier noch schöner wie im Heimatland.";"nothing"
"2446";982697095102047;"Bzw ist xD deswegen antwortet er nicht der arme :/
Oder er weiß nicht was er sagen soll Oder hilft gerade Flüchtlingen oooddeeerrr wird von denen gerade beklaut xD";"nothing"
"524";1134091419962613;"Nein Danke";"nothing"
"8052";977027702335653;"https://www.facebook.com/noszkurwamac/videos/10156446888640206/ So ist in Ungarische Bahnhof";"nothing"
"6930";1012444195460670;"Du bist aber sehr aggressiv in deiner Wortwahl warum kann ich nicht verstehen geh doch mal zu einem psychologen da hilft bestimmt Valium wir können uns doch alle lieb haben du großer großer Mensch";"nothing"
"7417";1092030587502030;"sollen sie nur ordentlich bomben reintun. Auf daßdie schwarzen Affen eingeheizt kriegen.";"nothing"
"4421";985718668133223;"Holger Bommel,meine vorherige Antwort ...... na dann beten........ ,, galt auch Fräulein Naumann.  Tolle Antwort Holger  ????????????????????????";"nothing"
"1497";876251955746562;"Fachkräfte???die Hälfte kann nicht mal lesen und schreiben...Gesocks wo sich hier auf die faule Haut legen und durch füttern lassen...";"nothing"
"8428";855600911145000;"[@IND] , eine der wenigen die es versteht auch zwischen den Zeilen zu lesen. ... danke";"nothing"
"1036";1063798360325253;"Zwangsläufig !";"nothing"
"4271";985356728169417;"Es wären noch viel mehr da!  Wäre da nicht Job oder Familie. Die, die nicht da sein konnten, unterstützen euch mit Herzen!  Weiter so!";"nothing"
"817";1063435637028192;"... lach ...weiter so";"nothing"
"8256";855825091122582;"Herr Theben, Sie sprechen mir aus der Seele.Solange es solche Menschen wie Sie es sind noch gibt, gibt es noch Hoffnung für die Menschheit!Danke sehr!Hochachtungsvoll.";"nothing"
"7708";1096013603770395;"Wie dumm sie lachen, die kleinen Bälger, weil sie gar nicht wissen, was sie tun!!!";"nothing"
"2526";982774601760963;"tja, mehr Nationalstaaten - dann wirds auch wieder mehr Krieg geben - vielleicht bist du bald der Flüchtling :-D";"nothing"
"862";1063829070322182;"Das war mir schon lange klar. Und die Regierung nennt euch das Pack. Also ich mag das Pack. Packen wirs an.";"nothing"
"3089";1057128457658910;"Ralf, ich vermute, du bist kein Gutmensch !  :)";"nothing"
"5319";1010189535686136;"""Auch fordert sie, dass in Moscheen auf deutsch gepredigt werden sollte – damit klar wäre, worüber eigentlich gesprochen werde."" http://www.vhs-hamburg.de/kurse/kurse/sprachen/arabisch-323";"nothing"
"1470";862078310497260;"Ich fand MacGyver auch immer gut, der hatte super Tricks drauf";"nothing"
"3379";982652085106548;"Da tischen uns unsere Politiker Märchen auf...von wegen ""arme erschöpfte traumatisierte ängstliche Flüchtlinge"" und an der Grenze zeigen sie ihr wahres Gesicht....wenn ich vor Terror und Krieg flüchte....fang ich nicht an...mit Terror und Krieg meinen Willen durch zu setzen....und genau diesen Terror...importieren unsere Politiker in unser Land....was soll das geben...wenn die hier sind und es läuft hier nicht nach deren Vorstellungen??? Haben unsere Politiker da eine Antwort drauf???";"criticism"
"4044";983090995062657;"Hallöchen! Hier eine Stellungnahme der ungarischen Botschaft zu den gestrigen Geschehnissen! Genau so wie mein Freund es berichtet hat! Wir wissen also, dass die Medien lügen

https://www.facebook.com/BotschaftUngarn/posts/899648653448734";"criticism"
"6006";855009264537498;"Warum ist diese Meldung nicht auf der Pegida-Seite?";"nothing"
"5961";855045291200562;"An alle verblendeten da draußen : 
 wacht endlich auf, öffnet eure augen.. khaleds mord ist doch erst der anfang, schaut nach frankfurt/main, berlin oder andere großstädte.
ich komme grad aus paris, war beruflich unterwegs - muss es in deutschen städten auch erst soweit kommen, das die polizei nur noch in vierer gruppen und mit dem gewehr im anschlag auf patrouille gehen kann.

Rechts und links sollten sich verbünden und gemeinsam gegen dieses verlogene politikergesindel und ihr lügen auf die strasse gehen..
Wie lange wollen wir noch sklave von onkel sam sein? 
wie lange toleriert der staat noch die übergriffe linksautonomer auf polizei und andersdenkende...

Zitat des CIA Chefs: deutschland wird in 20jahren nicht mehr zu regieren sein und es wird zu bürgerkriegsähnlichen zuständen kommen...
großes dankeschön schon mal im vorraus an die deutsche presse, welche nichts besseres zu tun hat als kritiker zu diffamieren und am liebsten dem rechten specktrum zuordnet, statt die bürger über die falsche politik aufzuklären, politiker anzuklagen...
Es ist zeit für ein zweite revolution in deutschland - lasst uns vor den reichstag ziehen - barrikaden müssen brennen";"subversive"
"5299";1012244405480649;"Claudia wie wärs mit Dresdner Zuckerkuchen.????";"nothing"
"4970";876337365738021;"Lies das Positionspapier!";"nothing"
"3220";982639908441099;"Die passen sich schon mal der Antifa an ??";"nothing"
"9005";991350727570017;"D?kujeme vám za vaši solidaritu !!";"nothing"
"2484";982686565103100;"wer sich über die sitten an der ungarischen grenze beschwert, darf gern mal ungeladen in nordkorea vorbeischaun...";"nothing"
"3254";982650038440086;"Nicht wenn wir viele wären.. Wieviel kosten eigentlich Söldner?";"nothing"
"8273";861966493841775;"Er hat gar nicht so unrecht der Gute!";"nothing"
"843";1063810650324024;"Brutto natürlich. D.h. wenn man im Laden was für € 100,- kauft, wieviel kassiert dann der Staat sofort von dem, was man bezahlen muss.";"criticism"
"924";1064113860293703;"so lang hier in sachsen keine islamgelehrten praktizieren wird sachsen natürlich ganz oben sein im bildungsniveau.";"nothing"
"1464";862155080489583;"Eigenartiger Humor. Sehr eigenartig.";"nothing"
"4438";1105426682829087;"Ein Verband mit Traktoren und Gülle wäre ganz nett. Feuerwehrschlauch auf und Druck drauf :-)";"nothing"
"8290";855144681190623;"Ihr seid NICHT das Volk! Lediglich eine unzufriedene keifende kleine Menge";"nothing"
